Datetime,"Material particulado respirable","Material particulado respirable grueso"
"2023-06-17 09:21",121,300
"2023-06-17 09:22",-,-
"2023-06-17 09:22",30,408
"2023-06-17 09:23",-,-
"2023-06-17 09:24",-,-
"2023-06-17 09:25",-,-
"2023-06-17 09:25",697,919
"2023-06-17 09:26",-,-
"2023-06-17 09:26",47,437
"2023-06-17 09:27",-,-
"2023-06-17 09:28",-,-
"2023-06-17 09:28",682,757
"2023-06-17 09:29",-,-
"2023-06-17 09:30",-,-
"2023-06-17 09:30",777.0285714285715,1024.4
"2023-06-17 09:31",-,-
"2023-06-17 09:31",269.25,708.75
"2023-06-17 09:32",-,-
"2023-06-17 09:32",441,624
"2023-06-17 09:33",-,-
"2023-06-17 09:33",343,498
"2023-06-17 09:34",-,-
"2023-06-17 09:34",-,-
"2023-06-17 09:36",-,-
"2023-06-17 09:37",-,-
"2023-06-17 09:38",-,-
"2023-06-17 09:38",-,-
"2023-06-17 09:40",-,-
"2023-06-17 09:40",713,949
"2023-06-17 09:41",-,-
"2023-06-17 09:41",839.5,488.5
"2023-06-17 09:42",-,-
"2023-06-17 09:42",544,748
"2023-06-17 09:43",-,-
"2023-06-17 09:44",-,-
"2023-06-17 09:44",10,295
"2023-06-17 09:45",-,-
"2023-06-17 09:45",710,711
"2023-06-17 09:46",-,-
"2023-06-17 09:47",-,-
"2023-06-17 09:47",-,-
"2023-06-17 09:49",-,-
"2023-06-17 09:50",-,-
"2023-06-17 09:51",-,-
"2023-06-17 09:51",-,-
"2023-06-17 09:53",-,-
"2023-06-17 09:54",-,-
"2023-06-17 09:55",-,-
"2023-06-17 09:56",-,-
"2023-06-17 09:57",-,-
"2023-06-17 09:58",-,-
"2023-06-17 09:59",-,-
"2023-06-17 10:00",-,-
"2023-06-17 10:01",-,-
"2023-06-17 10:02",-,-
"2023-06-17 10:03",-,-
"2023-06-17 10:03",-,-
"2023-06-17 10:03",-,-
"2023-06-17 10:06",7,3
"2023-06-17 10:06",-,-
"2023-06-17 10:08",-,-
"2023-06-17 10:08",-,-
"2023-06-17 10:09",-,-
"2023-06-17 10:10",-,-
"2023-06-17 10:10",5.076923076923077,9.076923076923077
