Datetime,"Material particulado respirable","Material particulado respirable grueso"
"2023-04-18 14:",69.9498135937541,406.107309526708
"2023-04-18 15:",46.52618813603,414.267314999238
"2023-04-18 16:",89.2566993736645,374.789202705824
"2023-04-18 17:",53.7295153109491,314.092547422646
"2023-04-18 18:",67.6825929533852,364.960794724744
"2023-04-18 19:",58.9917760700996,317.624315066513
"2023-04-18 20:",62.3626372564562,333.613243229992
"2023-04-18 21:",109.641754970217,706.924371763931
"2023-04-18 22:",56.7616760195984,335.336461553619
"2023-04-18 23:",91.9202622357424,517.46132664267
"2023-04-19 00:",127.048210733079,683.029419436962
"2023-04-19 01:",135.790158914287,717.468013101969
"2023-04-19 02:",158.622462768333,774.419978562948
"2023-04-19 03:",178.482952591574,795.805480491797
"2023-04-19 04:",159.568584036382,783.33278405336
"2023-04-19 05:",123.174214105918,789.552968416635
"2023-04-19 06:",92.8444697937984,561.142622998487
"2023-04-19 07:",79.9321017257233,554.334602822827
"2023-04-19 08:",152.570760878335,865.168244039827
"2023-04-19 09:",111.728101844285,616.374012761114
"2023-04-19 10:",92.9407642524306,532.857485602436
"2023-04-19 11:",68.9045442861584,409.458328951488
"2023-04-19 12:",90.3010005303569,564.747675423216
"2023-04-19 13:",100.17912787699,571.537975162174
"2023-04-19 14:",57.9965262464376,348.155796318795
"2023-04-19 15:",47.2532945244713,254.246286152892
"2023-04-19 16:",49.7278174134718,263.285853241994
"2023-04-19 17:",23.0818740219144,116.865499917009
"2023-04-19 18:",53.2694709085646,251.505842940885
"2023-04-19 19:",88.6914343840781,468.436711541235
"2023-04-19 20:",127.260965470335,691.936600404728
"2023-04-19 21:",186.208541742607,968.864661807863
"2023-04-19 22:",244.796557607222,1180.25408907153
"2023-04-19 23:",183.692897639571,961.155473189915
"2023-04-20 00:",130.889046118646,798.027430229829
"2023-04-20 01:",117.933201434609,739.234783466754
"2023-04-20 02:",104.160877484047,618.61547756344
"2023-04-20 03:",121.143553249579,694.276117992855
"2023-04-20 04:",127.919039793867,733.24080282874
"2023-04-20 05:",115.272856485877,647.905968820535
"2023-04-20 06:",145.328010147334,714.802726741272
"2023-04-20 07:",74.2728653740547,456.28235224623
"2023-04-20 08:",49.8865853357178,307.424260042954
"2023-04-20 09:",92.7821956977123,508.128477570362
"2023-04-20 10:",78.7184320950791,496.011427969818
"2023-04-20 11:",63.443143697676,373.807216772465
"2023-04-20 12:",75.7938345058848,474.495612924459
"2023-04-20 13:",287.858796486863,1166.93735984079
"2023-04-20 14:",143.425538021091,695.77252444427
"2023-04-20 15:",72.0568273087526,363.914858307697
"2023-04-20 16:",60.2442944815878,315.474272890303
"2023-04-20 17:",36.3263720720523,199.318445494093
"2023-04-20 18:",93.0726199384669,480.763593229112
"2023-04-20 19:",122.794322964709,508.247169888613
"2023-04-20 20:",184.104578096119,945.211821867493
"2023-04-20 21:",133.246613398832,582.129748938466
"2023-04-20 22:",68.4297913925335,399.497050597801
"2023-04-20 23:",56.0542178611103,319.445827054125
"2023-04-21 00:",64.7693717245821,404.1842246787
"2023-04-21 01:",53.6615331082745,266.510123096882
"2023-04-21 02:",99.3271935016145,462.723898546628
"2023-04-21 03:",91.2748992453448,490.369804084291
"2023-04-21 04:",84.786362861955,391.090577086477
"2023-04-21 05:",103.223529460969,453.847871316328
"2023-04-21 06:",147.215997182683,791.463161094457
"2023-04-21 07:",67.6302034464085,366.323120663813
"2023-04-21 08:",235.722993582074,1336.94733428895
"2023-04-21 09:",128.071938740407,732.531830812638
"2023-04-21 10:",83.6864930888224,507.337787172178
"2023-04-21 11:",221.925457059064,1061.07449327106
"2023-04-21 12:",217.147742237788,1221.34521229174
"2023-04-21 13:",278.383139563341,1605.23127893522
"2023-04-21 14:",188.683870967742,1125.12903225807
"2023-04-21 15:",218.541962672454,1263.38610382572
"2023-04-21 16:",272.077705167017,1435.63078113493
"2023-04-21 17:",217.818612626557,1161.57048907513
"2023-04-21 18:",159.471237368265,862.527318963016
"2023-04-21 19:",113.597648572598,612.33095843432
"2023-04-21 20:",90.6743358273373,576.770883354706
"2023-04-21 21:",86.7521601086614,382.750713638165
"2023-04-21 22:",138.679181194103,479.162604933422
"2023-04-21 23:",32.036160676376,170.637932408819
"2023-04-22 00:",64.9724404508783,376.473129949165
"2023-04-22 01:",43.6805608384915,202.192307938762
"2023-04-22 02:",38.8487155274092,209.343043424094
"2023-04-22 03:",38.7350689570931,202.59485335894
"2023-04-22 04:",46.8594635823245,254.606791663315
"2023-04-22 05:",44.7846244903262,241.441507203635
"2023-04-22 06:",32.6493902682128,189.710442904288
"2023-04-22 07:",30.4966449608869,163.573742818533
"2023-04-22 08:",76.0250966201947,408.898548743155
"2023-04-22 09:",95.034916258045,511.825384119184
"2023-04-22 10:",43.2490628511482,260.068132833961
"2023-04-22 11:",31.2873544762571,192.415069644027
"2023-04-22 12:",60.1293738872686,317.858693807647
"2023-04-22 13:",128.036790328475,686.755471007537
"2023-04-22 14:",133.358753670788,597.580110364438
"2023-04-22 15:",62.3244014408265,280.002589391786
"2023-04-22 16:",62.7455476999165,303.215036223484
"2023-04-22 17:",38.3705290316598,222.729065771776
"2023-04-22 18:",62.4506207651776,258.593404145444
"2023-04-22 19:",45.6927014123928,246.34401960099
"2023-04-22 20:",42.419362467831,231.608472167637
"2023-04-22 21:",27.9559627571056,158.724977411181
"2023-04-22 22:",21.7524739387905,101.868958777557
"2023-04-22 23:",15.0635060098697,64.8043995711114
"2023-04-23 00:",16.8666909866762,85.1288423985671
"2023-04-23 01:",47.8362697939259,237.96112182136
"2023-04-23 02:",35.3942442185113,177.195379737129
"2023-04-23 03:",36.1516099335419,205.568575785911
"2023-04-23 04:",98.0172150085792,455.753316942073
"2023-04-23 05:",29.136855720341,168.721488191544
"2023-04-23 06:",34.2285656200834,194.723540308246
"2023-04-23 07:",25.4973882747657,121.27484274835
"2023-04-23 08:",42.9437462136149,219.89587443865
"2023-04-23 09:",33.7200396506018,202.157134532757
"2023-04-23 10:",26.0168161366581,156.180093791602
"2023-04-23 11:",19.9464883243756,122.037516171705
"2023-04-23 12:",40.7330380490008,283.09370406762
"2023-04-23 13:",136.075231330925,899.22870570903
"2023-04-23 14:",33.0336714630811,199.611240712179
"2023-04-23 15:",131.434618228452,655.911626759796
"2023-04-23 16:",140.690106397546,698.772831858554
"2023-04-23 17:",157.964844074756,611.993121546591
"2023-04-23 18:",200.591168469914,755.921313033496
"2023-04-23 19:",149.279727918426,483.468426621073
"2023-04-23 20:",74.5639174542309,238.842754273893
"2023-04-23 21:",17.2169976368048,68.8682324629271
"2023-04-23 22:",17.4430268746979,72.2944236229505
"2023-04-23 23:",25.8766477701992,119.042290842316
"2023-04-24 00:",39.7000698051715,226.124007670116
"2023-04-24 01:",41.5249031666294,240.150638895082
"2023-04-24 02:",36.5618070218076,219.129021686759
"2023-04-24 03:",23.5192186899156,125.782844760178
"2023-04-24 04:",24.242272923102,148.997310940343
"2023-04-24 05:",18.5325890436928,113.836905791927
"2023-04-24 06:",20.158514807639,122.746319940804
"2023-04-24 07:",28.483187032856,153.097934291204
"2023-04-24 08:",26.7203835270411,141.728286296691
"2023-04-24 09:",43.9396111261308,217.198937179532
"2023-04-24 10:",87.9060716748,363.267814212908
"2023-04-24 11:",67.3551479039556,276.063617566764
"2023-04-24 12:",67.4234203771719,256.595696599855
"2023-04-24 13:",98.4794082531849,362.384766334072
"2023-04-24 14:",53.0808858189905,265.929832352006
"2023-04-24 15:",67.8552761900049,269.733414273425
"2023-04-24 16:",190.17189566693,717.870489546118
"2023-04-24 17:",70.1394516851763,240.105143002054
