Datetime,"Material particulado respirable","Material particulado respirable grueso"
"2023-08-23 15:",28.523386967466,28.65209638254
"2023-08-23 17:",30.054891642762,25.184427577378
"2023-08-23 17:",67.906552796547,20.322888133942
"2023-08-23 18:",49.037687851284,20.280366177724
"2023-08-23 20:",34.029015109003,19.082070140249
"2023-08-24 01:",26.260672110318,7.0544227348276
"2023-08-24 02:",31.55132171567,13.403285328519
"2023-08-24 03:",35.988573692829,22.017283871648
"2023-08-24 03:",29.838237236441,9.9704094814422
"2023-08-24 04:",33.594201905181,7.115691937116
"2023-08-24 06:",26.77134545884,7.128583790223
"2023-08-24 07:",26.192769519042,6.9084789361308
"2023-08-24 08:",8.7213655238994,3.6016325335573
"2023-08-24 08:",9.3129449159579,4.301666056709
"2023-08-24 18:",27.388176585602,50.651551412467
"2023-08-24 18:",63.910154719943,135.98201862499
"2023-08-24 20:",75.448067849798,158.81628609515
"2023-08-24 20:",81.330458795074,169.81865216963
"2023-08-25 00:",58.221778777643,111.28494202922
"2023-08-25 01:",174.77373621791,372.45181081737
"2023-08-25 02:",115.06064030585,234.68990502489
"2023-08-25 02:",77.579442828931,154.83110889481
"2023-08-25 04:",29.686480980706,53.99745324382
"2023-08-25 05:",24.709702142563,37.466314051515
"2023-08-25 06:",41.651662299194,94.721782292451
"2023-08-25 07:",49.078594066376,116.94311366423
"2023-08-25 07:",51.914199641619,131.56494697497
"2023-08-25 09:",45.506860569498,112.29341896689
"2023-08-25 10:",16.653783641127,24.419198325808
"2023-08-25 11:",36.316808348964,56.376113217378
"2023-08-25 11:",68.093286206295,147.90285614737
"2023-08-25 12:",273.71267723907,573.65501354874
"2023-08-25 14:",346.49036936546,742.38571392663
