Datetime,"Material particulado respirable","Material particulado respirable grueso"
"2023-08-04 20:",9.2526528143457,0.62570791527313
"2023-08-04 20:",8.1519512638662,1.5314253500636
"2023-08-04 20:",8.5692269019047,1.7382765138136
"2023-08-04 20:",6.4175612697909,1.1832977530635
"2023-08-04 20:",8.2688745063243,0.36647180611375
"2023-08-04 20:",7.4352941176471,0.51443137254902
"2023-08-04 20:",7.928726247946,0.716824738406
"2023-08-04 21:",7.4898417105973,0.72959326339231
"2023-08-04 21:",71.675106783794,78.336294599018
"2023-08-04 21:",141.48070063519,167.56580910774
"2023-08-04 21:",144.4192824126,177.77268524238
"2023-08-04 21:",309.70871650788,405.12563227844
"2023-08-04 21:",373.01544181502,406.9560337965
"2023-08-04 21:",7.1526063829787,0.25516666666667
"2023-08-04 21:",7.3773159322278,1.9406577319375
"2023-08-04 21:",11.060233580019,7.7484956609841
"2023-08-04 21:",9.7682858701582,3.1474195308238
"2023-08-04 21:",6.523394085374,2.8775099692225
"2023-08-04 22:",979.50124509804,1059.6547647059
"2023-08-04 22:",313.21139011579,345.57775935531
"2023-08-04 22:",243.88900832562,259.31222679618
"2023-08-04 22:",736.79052743367,793.96043568066
"2023-08-04 22:",1040.7450557855,1115.6225256642
"2023-08-04 22:",136.01274534161,141.76077728483
"2023-08-04 22:",122.83420504167,112.51760372245
"2023-08-04 22:",218.89329863222,196.23636752786
"2023-08-04 22:",545.88697892381,511.50376164869
"2023-08-04 22:",509.2084520696,528.36668248695
"2023-08-04 22:",969.26205893698,993.36145075376
"2023-08-04 23:",389.90493311037,445.65639687848
"2023-08-04 23:",253.41494786097,307.64812693862
"2023-08-04 23:",333.72475026838,345.50406647203
"2023-08-04 23:",369.3348286503,412.16327984817
"2023-08-04 23:",992.8247882619,1076.7086062288
"2023-08-04 23:",391.73141716225,430.78322765584
"2023-08-04 23:",442.20548639456,495.63811904762
"2023-08-04 23:",385.57965686275,426.04499019608
"2023-08-04 23:",613.51597899972,637.8858266293
"2023-08-04 23:",178.13736913401,178.44829431438
"2023-08-04 23:",497.01214970997,586.12399467067
"2023-08-05 00:",450.81693084359,521.90875039246
"2023-08-05 00:",461.44124224442,506.19671809717
"2023-08-05 00:",360.15287234043,400.07254728132
"2023-08-05 00:",542.11100350667,638.66075150133
"2023-08-05 00:",485.12338752844,516.92418126825
"2023-08-05 00:",319.51004624838,352.2445467073
"2023-08-05 00:",336.14502898243,363.96930106977
"2023-08-05 00:",692.58305148368,764.41093218786
"2023-08-05 00:",662.87479674797,723.13111111111
"2023-08-05 00:",294.03850486185,369.66702267187
"2023-08-05 00:",353.52285561497,405.57903030303
"2023-08-05 01:",261.42070688813,278.45040587852
"2023-08-05 01:",377.75263448414,370.67215208082
"2023-08-05 01:",415.84301283645,474.45725044351
"2023-08-05 01:",343.14332482224,392.40825785699
"2023-08-05 01:",377.99633708556,443.54112555167
"2023-08-05 01:",344.25831066163,403.340283088
"2023-08-05 01:",156.59297967568,189.5913256607
"2023-08-05 01:",520.2883086104,543.47275670171
"2023-08-05 01:",445.18389423501,445.61137903319
"2023-08-05 01:",466.83581560284,484.75901891253
"2023-08-05 01:",407.22649472833,434.30332894027
"2023-08-05 02:",372.1021021742,419.55579831933
"2023-08-05 02:",898.2962969134,916.93101698809
"2023-08-05 02:",544.50010280868,642.84676586354
"2023-08-05 02:",332.23128632479,378.42066239316
"2023-08-05 02:",481.70760306584,527.08064006981
"2023-08-05 02:",195.38283877196,225.45516463226
"2023-08-05 02:",536.68100129684,591.60449798649
"2023-08-05 02:",394.12545133438,447.60035321821
"2023-08-05 02:",926.16571942991,936.89511569808
"2023-08-05 02:",222.1474180602,217.27202006689
"2023-08-05 02:",449.477109782,486.66241756365
"2023-08-05 03:",408.01123188406,460.31142951252
"2023-08-05 03:",721.35028698837,745.78329169795
"2023-08-05 03:",709.01067730496,714.08323404255
"2023-08-05 03:",733.13269419345,726.96411363378
"2023-08-05 03:",835.41356699436,839.22071945345
"2023-08-05 03:",789.67076923077,808.97018060201
"2023-08-05 03:",232.46336868687,243.95216161616
"2023-08-05 03:",237.64610047704,253.88315980918
"2023-08-05 03:",495.79443471005,527.36594075928
"2023-08-05 03:",328.19707134136,373.90773765917
"2023-08-05 03:",642.29062547615,678.47658007538
"2023-08-05 04:",289.55709219858,269.0925248227
"2023-08-05 04:",405.74116770186,436.27519787045
"2023-08-05 04:",300.23301942226,315.28650813369
"2023-08-05 04:",382.54716954474,435.71817268446
"2023-08-05 04:",163.25242512077,177.85594202899
