Datetime,"Material particulado respirable"
"2023-02-15 17:","30,0952380952381"
"2023-02-15 18:","71,2203389830509"
"2023-02-15 19:","29,9830508474576"
"2023-02-15 20:","21,4745762711864"
"2023-02-15 21:","19,8474576271186"
"2023-02-15 22:","16,2542372881356"
"2023-02-15 23:","110,372881355932"
"2023-02-16 00:","59,6949152542373"
"2023-02-16 01:","74,05"
"2023-02-16 02:","148,830508474576"
"2023-02-16 03:","47,9322033898305"
"2023-02-16 04:","26,6271186440678"
"2023-02-16 05:",105
"2023-02-16 06:","69,8813559322034"
"2023-02-16 07:","29,3050847457627"
"2023-02-16 08:","36,1333333333333"
"2023-02-16 09:","46,9322033898305"
"2023-02-16 10:","45,1525423728814"
"2023-02-16 11:","22,2881355932203"
"2023-02-16 12:","22,3728813559322"
"2023-02-16 13:","25,6440677966102"
"2023-02-16 14:","31,3559322033898"
"2023-02-16 15:","63,1833333333333"
"2023-02-16 16:","31,1864406779661"
"2023-02-16 17:","19,0677966101695"
"2023-02-16 18:","19,6271186440678"
"2023-02-16 19:","28,593220338983"
"2023-02-16 20:","21,2881355932203"
"2023-02-16 21:","26,3220338983051"
"2023-02-16 22:","26,406779661017"
"2023-02-16 23:","43,0166666666667"
"2023-02-17 00:","61,0508474576271"
"2023-02-17 01:","52,3728813559322"
"2023-02-17 02:","38,8474576271186"
"2023-02-17 03:","72,864406779661"
"2023-02-17 04:",81
"2023-02-17 05:","30,0847457627119"
"2023-02-17 06:","17,5254237288136"
"2023-02-17 07:","50,05"
"2023-02-17 08:","17,6949152542373"
"2023-02-17 09:","17,4237288135593"
"2023-02-17 10:","12,9491525423729"
"2023-02-17 11:","11,8813559322034"
"2023-02-17 12:","15,8135593220339"
"2023-02-17 13:","26,0338983050848"
"2023-02-17 14:","37,2833333333333"
"2023-02-17 15:","46,6779661016949"
"2023-02-17 16:","23,135593220339"
"2023-02-17 17:","15,0508474576271"
"2023-02-17 18:","17,8813559322034"
"2023-02-17 19:","16,5254237288136"
"2023-02-17 20:","23,8305084745763"
"2023-02-17 21:","24,9166666666667"
"2023-02-17 22:","57,4745762711864"
"2023-02-17 23:","102,966101694915"
"2023-02-18 00:","22,2203389830509"
"2023-02-18 01:","117,881355932203"
"2023-02-18 02:","34,0169491525424"
"2023-02-18 03:","75,8474576271186"
"2023-02-18 04:","52,3728813559322"
"2023-02-18 05:","32,1525423728814"
"2023-02-18 06:","74,7666666666667"
"2023-02-18 07:","53,2372881355932"
"2023-02-18 08:","26,3559322033898"
"2023-02-18 09:","49,0508474576271"
"2023-02-18 10:","24,1694915254237"
"2023-02-18 11:","17,864406779661"
"2023-02-18 12:","21,728813559322"
"2023-02-18 13:","22,0677966101695"
"2023-02-18 14:","26,35"
"2023-02-18 15:","26,6271186440678"
"2023-02-18 16:","11,6610169491525"
"2023-02-18 17:","26,1186440677966"
"2023-02-18 18:","16,4745762711864"
"2023-02-18 19:","9,67796610169492"
"2023-02-18 20:","3,13333333333333"
"2023-02-18 21:",9
"2023-02-18 22:","7,86440677966102"
"2023-02-18 23:","6,05084745762712"
"2023-02-19 00:","18,4915254237288"
"2023-02-19 01:","17,6610169491525"
"2023-02-19 02:","11,3898305084746"
"2023-02-19 03:","8,8135593220339"
"2023-02-19 04:","8,45"
"2023-02-19 05:","13,2203389830508"
"2023-02-19 06:","6,49152542372881"
"2023-02-19 07:","6,33898305084746"
"2023-02-19 08:","11,7118644067797"
"2023-02-19 09:","22,864406779661"
"2023-02-19 10:","80,9322033898305"
"2023-02-19 11:","64,1016949152542"
"2023-02-19 12:","24,0333333333333"
"2023-02-19 13:","15,8474576271186"
"2023-02-19 14:","13,9322033898305"
"2023-02-19 15:","17,3050847457627"
"2023-02-19 16:","9,71186440677966"
"2023-02-19 17:","18,0169491525424"
"2023-02-19 18:","33,5084745762712"
"2023-02-19 19:","26,6610169491525"
"2023-02-19 20:","39,2833333333333"
"2023-02-19 21:","44,8135593220339"
"2023-02-19 22:","77,2372881355932"
"2023-02-19 23:","157,728813559322"
"2023-02-20 00:","42,7627118644068"
"2023-02-20 01:","57,9152542372881"
"2023-02-20 02:","32,9661016949153"
"2023-02-20 03:","10,3559322033898"
"2023-02-20 04:","9,51666666666667"
"2023-02-20 05:","11,2203389830508"
"2023-02-20 06:","8,22033898305085"
"2023-02-20 07:","9,83050847457627"
"2023-02-20 08:","7,74576271186441"
"2023-02-20 09:","9,57627118644068"
"2023-02-20 10:","50,3898305084746"
"2023-02-20 11:","81,3559322033898"
"2023-02-20 12:","17,0508474576271"
"2023-02-20 13:","15,9661016949153"
"2023-02-20 14:","22,7333333333333"
"2023-02-20 15:","14,4745762711864"
"2023-02-20 16:","17,5423728813559"
"2023-02-20 17:","24,0169491525424"
"2023-02-20 18:","21,4915254237288"
"2023-02-20 19:","14,7118644067797"
"2023-02-20 20:","21,8983050847458"
"2023-02-20 21:","87,0333333333333"
"2023-02-20 22:","44,864406779661"
"2023-02-20 23:","24,2372881355932"
"2023-02-21 00:","40,4067796610169"
"2023-02-21 01:","82,7627118644068"
"2023-02-21 02:","21,5762711864407"
"2023-02-21 03:","8,13559322033898"
"2023-02-21 04:","17,4745762711864"
"2023-02-21 05:","13,6779661016949"
"2023-02-21 06:","30,15"
"2023-02-21 07:","13,9661016949153"
"2023-02-21 08:","16,271186440678"
"2023-02-21 09:","27,6949152542373"
"2023-02-21 10:","19,6101694915254"
"2023-02-21 11:","16,6610169491525"
"2023-02-21 12:","15,0169491525424"
"2023-02-21 13:","19,6779661016949"
"2023-02-21 14:","21,75"
"2023-02-21 15:","15,3220338983051"
"2023-02-21 16:",18
"2023-02-21 17:","16,5762711864407"
"2023-02-21 18:","17,5593220338983"
"2023-02-21 19:","12,8305084745763"
"2023-02-21 20:","17,7"
"2023-02-21 21:","20,8983050847458"
"2023-02-21 22:","50,3898305084746"
"2023-02-21 23:","44,271186440678"
"2023-02-22 00:","63,4745762711864"
"2023-02-22 01:","46,4237288135593"
"2023-02-22 02:","95,864406779661"
"2023-02-22 03:","31,5254237288136"
"2023-02-22 04:","61,4833333333333"
"2023-02-22 05:","24,5593220338983"
"2023-02-22 06:","19,9491525423729"
"2023-02-22 07:","18,5593220338983"
"2023-02-22 08:","18,3220338983051"
"2023-02-22 09:","21,6779661016949"
"2023-02-22 10:","49,0508474576271"
"2023-02-22 11:","12,1016949152542"
"2023-02-22 12:","13,0833333333333"
"2023-02-22 13:","11,5084745762712"
"2023-02-22 14:",27
"2023-02-22 15:","38,5932203389831"
