Datetime,"Velocidad del viento","Dirección del viento",Temperatura,"Punto de rocío","Humedad relativa",Precipitación
"2023-08-01 17:",6.44,40,20.89,18.31,14,0
"2023-08-01 18:",1.77,306,19.61,18.08,15,0
"2023-08-01 19:",4.67,45,19,20.11,17,0
"2023-08-01 20:",6.12,72,16,17.04,18,0
"2023-08-01 21:",4.35,60,17.39,21.55,20,0
"2023-08-01 22:",2.09,60,17,22.13,21,0
"2023-08-01 23:",4.35,39,17.39,17.76,17,0
"2023-08-02 00:",9.01,57,16.89,17.03,17,0
"2023-08-02 01:",5.47,43,16.5,17.78,18,0
"2023-08-02 02:",6.92,31,17.11,19.94,19,0
"2023-08-02 03:",1.77,82,14,18.71,22,0
"2023-08-02 04:",5.47,40,16.28,17.45,18,0
"2023-08-02 05:",2.9,92,14.5,19.47,22,0
"2023-08-02 06:",7.89,32,16.61,19.2,19,0
"2023-08-02 07:",4.67,80,17,18.51,18,0
"2023-08-02 08:",3.54,62,17.22,14.64,15,0
"2023-08-02 09:",2.09,45,17.61,32.5,31,0
"2023-08-02 10:",4.35,68,19.61,12.97,12,0
"2023-08-02 11:",0,68,23.78,24.06,15,0
"2023-08-02 13:",0,31,24.72,26.97,16,0
"2023-08-02 13:",2.57,50,25.22,30.57,18,0
"2023-08-02 14:",0,333,25.72,26.84,15,0
"2023-08-02 15:",0,32,20.89,25.52,19,0
"2023-08-02 16:",3.22,51,20,22.92,18,0
"2023-08-02 17:",5.79,43,19.5,17.92,15,0
"2023-08-02 18:",9.33,19,18.72,16.8,15,0
"2023-08-02 19:",8.21,32,17.39,16.36,16,0
"2023-08-02 20:",4.67,61,17.22,18.84,18,0
"2023-08-02 21:",6.12,25,17.5,16.52,16,0
"2023-08-02 22:",3.22,40,17.22,21.31,20,0
"2023-08-02 23:",6.12,52,16.78,16.86,17,0
"2023-08-03 00:",6.12,44,17,17.19,17,0
"2023-08-03 01:",5.79,37,16.72,16.78,17,0
"2023-08-03 02:",4.67,83,15.78,17.96,19,0
"2023-08-03 03:",4.67,44,16.72,18.1,18,0
