Datetime,"Velocidad del viento","Dirección del viento",Temperatura,"Punto de rocío","Humedad relativa",Precipitación
"2023-08-01 17:44",13.04,20,13.11,10.14,16,0
"2023-08-01 17:49",3.22,105,13.22,11.66,17,0
"2023-08-01 17:54",1.77,133,13.11,10.14,16,0
"2023-08-01 17:59",2.9,92,13.28,13.03,18,0
"2023-08-01 18:44",3.22,171,12.61,12.05,18,0
"2023-08-01 18:49",4.02,121,12.5,14.27,20,0
"2023-08-01 18:54",4.02,123,12.22,11.47,18,0
"2023-08-01 18:59",6.12,71,12.22,11.47,18,0
"2023-08-01 19:39",0,355,11.39,11.45,19,0
"2023-08-01 19:44",2.57,94,11.78,18.31,25,0
"2023-08-01 19:49",3.22,353,11.61,18.96,26,0
"2023-08-01 19:54",5.79,36,10.72,11.61,20,0
"2023-08-01 20:34",2.9,353,11.22,15.54,23,0
"2023-08-01 20:44",3.54,259,10.61,15.58,24,0
"2023-08-01 20:49",6.44,78,11,18.9,27,0
"2023-08-01 20:54",2.09,82,10,16.48,26,0
"2023-08-01 21:39",4.02,157,9.28,19.44,31,0
"2023-08-01 21:44",2.57,95,9.61,23.49,36,0
"2023-08-01 21:49",2.57,114,9.61,17.59,28,0
"2023-08-01 21:54",2.9,55,9.5,19.79,31,0
"2023-08-01 22:44",5.47,50,9.5,19.79,31,0
"2023-08-01 22:49",4.35,297,10.11,16.65,26,0
"2023-08-01 22:54",1.77,283,9.78,15.24,25,0
"2023-08-01 22:59",6.44,338,10,21.32,32,0
"2023-08-01 23:44",3.54,99,9.22,17.8,29,0
"2023-08-01 23:49",13.68,77,10.22,19.36,29,0
"2023-08-01 23:54",2.09,151,9.22,17.8,29,0
"2023-08-01 23:59",2.09,63,10.11,19.19,29,0
"2023-08-02 00:44",4.67,276,9,18.24,30,0
"2023-08-02 00:49",6.92,79,8.78,22.16,36,0
"2023-08-02 00:54",3.54,122,8.72,16.21,28,0
"2023-08-02 00:59",0,349,9.5,17.42,28,0
"2023-08-02 01:44",5.79,47,8.72,20.02,33,0
"2023-08-02 01:49",7.56,74,8,22.8,39,0
"2023-08-02 01:54",0,52,8.22,19.23,33,0
"2023-08-02 01:59",4.67,99,8.61,16.85,29,0
"2023-08-02 02:44",2.9,106,8.78,18.65,31,0
"2023-08-02 02:49",6.92,78,8,18.88,33,0
"2023-08-02 02:54",2.9,172,7.22,19.67,36,0
"2023-08-02 02:59",0,293,7.5,18.09,33,0
"2023-08-02 03:39",4.02,73,7.5,17.38,32,0
"2023-08-02 03:44",3.54,50,7.39,18.6,34,0
"2023-08-02 03:49",3.54,172,7.11,18.16,34,0
