Datetime,"Velocidad del viento","Dirección del viento",Temperatura,"Punto de rocío","Humedad relativa",Precipitación
"2023-08-01 17:",2.9,92,13.28,13.03,18,0
"2023-08-01 18:",6.12,71,12.22,11.47,18,0
"2023-08-01 19:",5.79,36,10.72,11.61,20,0
"2023-08-01 20:",2.09,82,10,16.48,26,0
"2023-08-01 21:",2.9,55,9.5,19.79,31,0
"2023-08-01 22:",6.44,338,10,21.32,32,0
"2023-08-01 23:",2.09,63,10.11,19.19,29,0
"2023-08-02 00:",0,349,9.5,17.42,28,0
"2023-08-02 01:",4.67,99,8.61,16.85,29,0
"2023-08-02 02:",0,293,7.5,18.09,33,0
"2023-08-02 03:",4.35,119,6.78,16.94,33,0
"2023-08-02 04:",4.99,119,7.22,13.88,28,0
"2023-08-02 05:",2.9,100,5.78,15.36,33,0
"2023-08-02 06:",4.35,95,5.61,16.44,35,0
"2023-08-02 07:",4.02,132,6.89,18.48,35,0
"2023-08-02 09:",4.99,87,6.39,14.9,31,0
"2023-08-02 09:",2.9,346,7.5,17.38,32,0
"2023-08-02 10:",4.35,28,12.72,20.67,26,0
"2023-08-02 11:",5.79,99,14.89,8.09,13,0
"2023-08-02 12:",8.69,37,13.89,8.3,14,0
"2023-08-02 13:",15.13,12,14.89,9.73,14,0
"2023-08-02 14:",2.57,74,14.28,8.86,14,0
"2023-08-02 15:",6.12,156,15.22,10.21,14,0
"2023-08-02 16:",18.67,50,12.5,7.82,15,0
"2023-08-02 17:",6.12,113,12.5,10.6,17,0
"2023-08-02 18:",3.54,8,11.72,9.46,17,0
"2023-08-02 19:",3.54,83,9.61,11.04,21,0
"2023-08-02 20:",2.09,99,8.78,10.83,22,0
"2023-08-02 21:",3.22,73,8.72,14.52,26,0
"2023-08-02 22:",2.57,56,8.11,10.81,23,0
"2023-08-02 23:",2.57,89,7.28,12.29,26,0
"2023-08-03 00:",4.35,79,7.5,10.83,24,0
"2023-08-03 01:",5.47,109,7.5,13.49,27,0
"2023-08-03 02:",2.57,31,7.78,9.31,22,0
"2023-08-03 03:",3.54,85,5.61,11.37,28,0
"2023-08-03 04:",4.67,140,6.11,14.46,31,0
"2023-08-03 05:",4.02,118,5.61,12.16,29,0
"2023-08-03 06:",5.47,100,5.5,15.6,34,0
"2023-08-03 07:",4.99,171,4.78,13.77,33,0
"2023-08-03 08:",2.9,62,4.61,13.51,33,0
"2023-08-03 09:",6.44,112,7.72,16.99,31,0
"2023-08-03 10:",3.22,312,11.78,15.36,22,0
"2023-08-03 11:",9.66,125,13.28,5.8,13,0
"2023-08-03 12:",18.67,307,12.22,7.42,15,0
"2023-08-03 13:",26.23,52,12.5,9.25,16,0
"2023-08-03 14:",7.89,167,12.22,8.85,16,0
"2023-08-03 15:",8.21,142,12.78,9.66,16,0
"2023-08-03 16:",10.46,126,11.5,10.41,18,0
"2023-08-03 17:",3.22,134,10.28,9.8,19,0
"2023-08-03 18:",0,349,9,12.16,23,0
"2023-08-03 19:",5.47,63,7.5,11.75,25,0
"2023-08-03 20:",4.35,120,6.89,14.16,29,0
"2023-08-03 21:",6.44,96,7.11,6.21,20,0
"2023-08-03 22:",1.77,188,7.72,4.82,18,0
"2023-08-03 23:",5.47,248,8,-1.73,13,0
"2023-08-04 00:",3.54,91,6.72,2.11,17,0
"2023-08-04 01:",2.57,110,5.72,3.02,19,0
"2023-08-04 02:",3.22,79,6,2.27,18,0
"2023-08-04 03:",5.47,93,6.89,-1.77,14,0
"2023-08-04 04:",6.92,83,7.39,-6.07,11,0
"2023-08-04 05:",6.12,35,6,-4.59,13,0
"2023-08-04 06:",2.57,80,6.28,-4.19,13,0
"2023-08-04 07:",3.54,5,6.78,-6.93,11,0
