Datetime,"Material particulado respirable","Material particulado respirable grueso"
"2023-07-10 08:",281.05,494.61666666667
"2023-07-10 09:",405.73333333333,653.45
"2023-07-10 10:",190.95,381.81666666667
"2023-07-10 11:",132.71666666667,283.2
"2023-07-10 12:",74.7,147.63333333333
"2023-07-10 13:",67.066666666667,116.38333333333
"2023-07-10 14:",64.666666666667,115.51666666667
"2023-07-10 15:",70.85,115.41666666667
"2023-07-10 16:",80.283333333333,129.45
"2023-07-10 17:",72.1,133.43333333333
"2023-07-10 18:",62.333333333333,128.76666666667
"2023-07-10 19:",75.416666666667,140.05
"2023-07-11 08:",38.716666666667,59.983333333333
"2023-07-11 09:",40.7,64.566666666667
