Datetime,"Material particulado respirable","Material particulado respirable grueso"
"2023-07-01 09:52",3,3.2
"2023-07-01 09:57",3,3.2
"2023-07-01 10:02",3,3.2
"2023-07-01 10:07",3,3.2
"2023-07-01 10:12",3,3.2
"2023-07-01 10:17",3,3.2
"2023-07-01 10:22",3,3.2
"2023-07-01 10:27",3,3.2
"2023-07-01 10:32",3,3.2
"2023-07-01 10:37",3,3.2
"2023-07-01 10:42",3,3.2
"2023-07-01 10:47",3,3.2
"2023-07-01 10:52",3,3.2
"2023-07-01 10:57",3,3.2
"2023-07-01 11:02",3,3.2
"2023-07-01 11:07",3,3.2
"2023-07-01 11:12",3,3.2
"2023-07-01 11:17",3,3.2
"2023-07-01 11:22",3,3.2
"2023-07-01 11:27",3,3.2
"2023-07-01 11:32",3,3.2
"2023-07-01 11:37",3,3.2
"2023-07-01 11:42",3,3.2
"2023-07-01 11:47",3,3.2
"2023-07-01 11:52",3,3.2
"2023-07-01 11:57",3,3.2
"2023-07-01 12:02",3,3.2
"2023-07-01 12:07",3,3.2
"2023-07-01 12:12",3,3.2
"2023-07-01 12:17",3,3.2
"2023-07-01 12:22",3,3.2
"2023-07-01 12:27",3,3.2
"2023-07-01 12:32",3,3.2
"2023-07-01 12:37",3,3.2
"2023-07-01 12:42",3,3.2
"2023-07-01 12:47",3,3.2
"2023-07-01 12:52",3,3.2
"2023-07-01 12:57",3,3.2
"2023-07-01 13:02",3,3.2
"2023-07-01 13:07",3,3.2
"2023-07-01 13:12",3,3.2
"2023-07-01 13:17",3,3.2
"2023-07-01 13:22",3,3.2
"2023-07-01 13:27",3,3.2
"2023-07-01 13:32",3,3.2
"2023-07-01 13:37",3,3.2
"2023-07-01 13:42",3,3.2
"2023-07-01 13:47",3,3.2
"2023-07-01 13:52",3,3.2
"2023-07-01 13:57",3,3.2
"2023-07-01 14:02",3,3.2
"2023-07-01 14:07",3,3.2
"2023-07-01 14:12",3,3.2
"2023-07-01 14:17",3,3.2
"2023-07-01 14:22",3,3.2
"2023-07-01 14:27",3,3.2
"2023-07-01 14:32",3,3.2
"2023-07-01 14:37",3,3.2
"2023-07-01 14:42",3,3.2
"2023-07-01 14:47",3,3.2
"2023-07-01 14:52",3,3.2
"2023-07-01 14:57",3,3.2
"2023-07-01 15:02",3,3.2
"2023-07-01 15:07",3,3.2
"2023-07-01 15:12",3,3.2
"2023-07-01 15:17",3,3.2
"2023-07-01 15:22",3,3.2
"2023-07-01 15:27",3,3.2
"2023-07-01 15:32",3,3.2
"2023-07-01 15:37",3,3.2
"2023-07-01 15:42",3,3.2
"2023-07-01 15:47",3,3.2
"2023-07-01 15:52",3,3.2
"2023-07-01 15:57",3,3.2
"2023-07-01 16:02",3,3.2
"2023-07-01 16:07",3,3.2
"2023-07-01 16:12",3,3.2
"2023-07-01 16:17",3,3.2
"2023-07-01 16:22",3,3.2
"2023-07-01 16:27",3,3.2
"2023-07-01 16:32",3,3.2
"2023-07-01 16:37",3,3.2
"2023-07-01 16:42",3,3.2
"2023-07-01 16:47",3,3.2
"2023-07-01 16:52",3,3.2
"2023-07-01 16:57",3,3.2
"2023-07-01 17:02",3,3.2
"2023-07-01 17:07",3,3.2
"2023-07-01 17:12",3,3.2
"2023-07-01 17:17",3,3.2
"2023-07-01 17:22",3,3.2
"2023-07-01 17:27",3,3.2
"2023-07-01 17:32",3,3.2
"2023-07-01 17:37",3,3.2
"2023-07-01 17:42",3,3.2
"2023-07-01 17:47",3,3.2
"2023-07-01 17:52",3,3.2
"2023-07-01 17:57",3,3.2
"2023-07-01 18:02",3,3.2
"2023-07-01 18:07",3,3.2
"2023-07-01 18:12",3,3.2
"2023-07-01 18:17",3,3.2
"2023-07-01 18:22",3,3.2
"2023-07-01 18:27",3,3.2
"2023-07-01 18:32",3,3.2
"2023-07-01 18:37",3,3.2
"2023-07-01 18:42",3,3.2
"2023-07-01 18:47",3,3.2
"2023-07-01 18:52",3,3.2
"2023-07-01 18:57",3,3.2
"2023-07-01 19:02",3,3.2
"2023-07-01 19:07",3,3.2
"2023-07-01 19:12",3,3.2
"2023-07-01 19:17",3,3.2
"2023-07-01 19:22",3,3.2
"2023-07-01 19:27",3,3.2
"2023-07-01 19:32",3,3.2
"2023-07-01 19:37",3,3.2
"2023-07-01 19:42",3,3.2
"2023-07-01 19:47",3,3.2
"2023-07-01 19:52",3,3.2
"2023-07-01 19:57",3,3.2
"2023-07-01 20:02",3,3.2
"2023-07-01 20:07",3,3.2
"2023-07-01 20:12",3,3.2
"2023-07-01 20:17",3,3.2
"2023-07-01 20:22",3,3.2
"2023-07-01 20:27",3,3.2
"2023-07-01 20:32",3,3.2
"2023-07-01 20:37",3,3.2
"2023-07-01 20:42",3,3.2
"2023-07-01 20:47",3,3.2
"2023-07-01 20:52",3,3.2
"2023-07-01 20:57",3,3.2
"2023-07-01 21:02",3,3.2
"2023-07-01 21:07",3,3.2
"2023-07-01 21:12",3,3.2
"2023-07-01 21:17",3,3.2
"2023-07-01 21:22",3,3.2
"2023-07-01 21:27",3,3.2
"2023-07-01 21:32",3,3.2
"2023-07-01 21:37",3,3.2
"2023-07-01 21:42",3,3.2
"2023-07-01 21:47",3,3.2
"2023-07-01 21:52",3,3.2
"2023-07-01 21:57",3,3.2
"2023-07-01 22:02",3,3.2
"2023-07-01 22:07",3,3.2
"2023-07-01 22:12",3,3.2
"2023-07-01 22:17",3,3.2
"2023-07-01 22:22",3,3.2
"2023-07-01 22:27",3,3.2
"2023-07-01 22:32",3,3.2
"2023-07-01 22:37",3,3.2
"2023-07-01 22:42",3,3.2
"2023-07-01 22:47",3,3.2
"2023-07-01 22:52",3,3.2
"2023-07-01 22:57",3,3.2
"2023-07-01 23:02",3,3.2
"2023-07-01 23:07",3,3.2
"2023-07-01 23:12",3,3.2
"2023-07-01 23:17",3,3.2
"2023-07-01 23:22",3,3.2
"2023-07-01 23:27",3,3.2
"2023-07-01 23:32",3,3.2
"2023-07-01 23:37",3,3.2
"2023-07-01 23:42",3,3.2
"2023-07-01 23:47",3,3.2
"2023-07-01 23:52",3,3.2
"2023-07-01 23:57",3,3.2
"2023-07-02 00:02",3,3.2
"2023-07-02 00:07",3,3.2
"2023-07-02 00:12",3,3.2
"2023-07-02 00:17",3,3.2
"2023-07-02 00:22",3,3.2
"2023-07-02 00:27",3,3.2
"2023-07-02 00:32",3,3.2
"2023-07-02 00:37",3,3.2
"2023-07-02 00:42",3,3.2
"2023-07-02 00:47",3,3.2
"2023-07-02 00:52",3,3.2
"2023-07-02 00:57",3,3.2
"2023-07-02 01:02",3,3.2
"2023-07-02 01:07",3,3.2
"2023-07-02 01:12",3,3.2
"2023-07-02 01:17",3,3.2
"2023-07-02 01:22",3,3.2
"2023-07-02 01:27",3,3.2
"2023-07-02 01:32",3,3.2
"2023-07-02 01:37",3,3.2
"2023-07-02 01:42",3,3.2
"2023-07-02 01:47",3,3.2
"2023-07-02 01:52",3,3.2
"2023-07-02 01:57",3,3.2
"2023-07-02 02:02",3,3.2
"2023-07-02 02:07",3,3.2
"2023-07-02 02:12",3,3.2
"2023-07-02 02:17",3,3.2
"2023-07-02 02:22",3,3.2
"2023-07-02 02:27",3,3.2
"2023-07-02 02:32",3,3.2
"2023-07-02 02:37",3,3.2
"2023-07-02 02:42",3,3.2
"2023-07-02 02:47",3,3.2
"2023-07-02 02:52",3,3.2
"2023-07-02 02:57",3,3.2
"2023-07-02 03:02",3,3.2
"2023-07-02 03:07",3,3.2
"2023-07-02 03:12",3,3.2
"2023-07-02 03:17",3,3.2
"2023-07-02 03:22",3,3.2
"2023-07-02 03:27",3,3.2
"2023-07-02 03:32",3,3.2
"2023-07-02 03:37",3,3.2
"2023-07-02 03:42",3,3.2
"2023-07-02 03:47",3,3.2
"2023-07-02 03:52",3,3.2
"2023-07-02 03:57",3,3.2
"2023-07-02 04:02",3,3.2
"2023-07-02 04:07",3,3.2
"2023-07-02 04:12",3,3.2
"2023-07-02 04:17",3,3.2
"2023-07-02 04:22",3,3.2
"2023-07-02 04:27",3,3.2
"2023-07-02 04:32",3,3.2
"2023-07-02 04:37",3,3.2
"2023-07-02 04:42",3,3.2
"2023-07-02 04:47",3,3.2
"2023-07-02 04:52",3,3.2
"2023-07-02 04:57",3,3.2
"2023-07-02 05:02",3,3.2
"2023-07-02 05:07",3,3.2
"2023-07-02 05:12",3,3.2
"2023-07-02 05:17",3,3.2
"2023-07-02 05:22",3,3.2
"2023-07-02 05:27",3,3.2
"2023-07-02 05:32",3,3.2
"2023-07-02 05:37",3,3.2
"2023-07-02 05:42",3,3.2
"2023-07-02 05:47",3,3.2
"2023-07-02 05:52",3,3.2
"2023-07-02 05:57",3,3.2
"2023-07-02 06:02",3,3.2
"2023-07-02 06:07",3,3.2
"2023-07-02 06:12",3,3.2
"2023-07-02 06:17",3,3.2
"2023-07-02 06:22",3,3.2
"2023-07-02 06:27",3,3.2
"2023-07-02 06:32",3,3.2
"2023-07-02 06:37",3,3.2
"2023-07-02 06:42",3,3.2
"2023-07-02 06:47",3,3.2
"2023-07-02 06:52",3,3.2
"2023-07-02 06:57",3,3.2
"2023-07-02 07:02",3,3.2
"2023-07-02 07:07",3,3.2
"2023-07-02 07:12",3,3.2
"2023-07-02 07:17",3,3.2
"2023-07-02 07:22",3,3.2
"2023-07-02 07:27",3,3.2
"2023-07-02 07:32",3,3.2
"2023-07-02 07:37",3,3.2
"2023-07-02 07:42",3,3.2
"2023-07-02 07:47",3,3.2
"2023-07-02 07:52",3,3.2
"2023-07-02 07:57",3,3.2
"2023-07-02 08:02",3,3.2
"2023-07-02 08:07",3,3.2
